Title,Game,player1,player2
Saturday Trials 2 SF6 Winners R2 - Wefran (Cammy) vs WIngedzero (Blanka),Street Fighter 6,Marnie,WIngedzero
Saturday Trials 2 SF6 Winners Semis - Acvius (JP) vs Squall (Dee Jay),Street Fighter 6,Acvius,Squall
Saturday Trials 2 SF6 Winners Semis - Wobbles (Ken) vs WIngedzero (Blanka),Street Fighter 6,Wobbles,WIngedzero
Saturday Trials 2 SSBU Grand Final - Geist (Bayonetta) vs Sage (Min Min),Ultimate,Geist,Sage
Saturday Trials 2 SSBU Losers Final - PsyKoD (Cloud) vs Sage (Min Min),Ultimate,PsyKoD,Sage
Saturday Trials 2 SSBU Losers Quarters - Scoops (Mii Brawler) vs Tenant (Snake),Ultimate,Scoops,Tenant
Saturday Trials 2 SSBU Losers Semis - PsyKoD (Ike) vs Scoops (Mii Brawler),Ultimate,PsyKoD,Scoops
Saturday Trials 2 SSBU Winners Final - Sage (Min Min) vs Geist (Bayonetta),Ultimate,Sage,Geist
Saturday Trials 3 GGST Grand Final - Eun (Sol) vs Bebeo Amibo (Leo),Guilty Gear: Strive,Noel,Bebeo Amibo
Saturday Trials 3 GGST Losers Final - Eun (Sol) vs Mangocopter (Potemkin),Guilty Gear: Strive,Noel,Mangocopter
Saturday Trials 3 GGST Losers Quarters - Mangocopter (Potemkin) vs Kibotsu (Axl),Guilty Gear: Strive,Mangocopter,Kibotsu
Saturday Trials 3 GGST Losers Quarters - mooni (Bridget) vs Yemma (Elphelt),Guilty Gear: Strive,mooni,Yemma
Saturday Trials 3 GGST Losers R5 - Creative Joke (Sol) vs Yemma (Elphelt),Guilty Gear: Strive,Creative Joke,Yemma
Saturday Trials 3 GGST Losers R5 - NeroGX (Chipp) vs Meaty Behemy (Goldlewis),Guilty Gear: Strive,NeroGX,Meaty Behemy
Saturday Trials 3 GGST Losers Semis - mooni (Bridget) vs Mangocopter (Potemkin),Guilty Gear: Strive,mooni,Mangocopter
Saturday Trials 3 GGST Losers Top 8 - Mangocopter (Potemkin) vs ThereGoesMySanity (May),Guilty Gear: Strive,Mangocopter,ThereGoesMySanity
Saturday Trials 3 GGST Losers Top 8 - Yemma (Elphelt) vs Meaty Behemy (Goldlewis),Guilty Gear: Strive,Yemma,Meaty Behemy
Saturday Trials 3 GGST Winners Final - Bebeo Amibo (Leo) vs Eun (Sol),Guilty Gear: Strive,Bebeo Amibo,Noel
Saturday Trials 3 GGST Winners Quarters - Eun (Sol) vs ThereGoesMySanity (May),Guilty Gear: Strive,Noel,ThereGoesMySanity
Saturday Trials 3 GGST Winners Quarters - Mangocopter (Potemkin) vs mooni (Bridget),Guilty Gear: Strive,Mangocopter,mooni
Saturday Trials 3 GGST Winners Semis - Bebeo Amibo (Leo) vs Kibotsu (Axl),Guilty Gear: Strive,Bebeo Amibo,Kibotsu
Saturday Trials 3 GGST Winners Semis - Eun (Sol) vs mooni (Bridget),Guilty Gear: Strive,Noel,mooni
Saturday Trials 3 SF6 Grand Final - GalaxyBrAn (Blanka) vs Chee (Marisa),Street Fighter 6,GalaxyBrAn,Chee
Saturday Trials 3 SF6 Losers Final - Fromundaman (A.K.I.) vs Chee (Marisa),Street Fighter 6,Fromundaman,Chee
Saturday Trials 3 SF6 Losers Quarters - DonShark (Chun-Li) vs Fromundaman (A.K.I.),Street Fighter 6,DonShark,Fromundaman
Saturday Trials 3 SF6 Losers Quarters - Wobbles (Ryu) vs jrome39 (Marisa),Street Fighter 6,Wobbles,jrome39
Saturday Trials 3 SF6 Losers R4 - Carls493 (Lily) vs jrome39 (Marisa),Street Fighter 6,Carls493,jrome39
Saturday Trials 3 SF6 Losers R4 - Fromundaman (A.K.I.) vs Mag3r (Zangief),Street Fighter 6,Fromundaman,Mag3r
Saturday Trials 3 SF6 Losers Semis - Fromundaman (A.K.I.) vs jrome39 (Marisa),Street Fighter 6,Fromundaman,jrome39
Saturday Trials 3 SF6 Winners Final - Chee (Marisa) vs GalaxyBrAn (Blanka),Street Fighter 6,Chee,GalaxyBrAn
Saturday Trials 3 SF6 Winners Quarters - GalaxyBrAn (Blanka) vs ScottyGazpacho (Dee Jay),Street Fighter 6,GalaxyBrAn,ScottyGazpacho
Saturday Trials 3 SF6 Winners Quarters - Wobbles (Ken) vs LongJohnCena (Luke),Street Fighter 6,Wobbles,LongJohnCena
